iter	RMSE
0	10134.25178
1	9911.588058
2	9706.904913
3	9499.415953
4	9294.169665
5	9097.302013
6	8916.140068
7	8731.068214
8	8553.64504
9	8379.869001
10	8217.656726
11	8060.177331
12	7904.806391
13	7761.651927
14	7622.98594
15	7484.039497
16	7352.637889
17	7224.269985
18	7102.197464
19	6982.385901
20	6865.619064
21	6763.401937
22	6655.725943
23	6558.088322
24	6459.965171
25	6364.777413
26	6275.360573
27	6182.365674
28	6091.876849
29	6004.705698
30	5921.7689
31	5844.609104
32	5765.402967
33	5691.18656
34	5617.884311
35	5550.100559
36	5482.54787
37	5417.786724
38	5360.42047
39	5299.50166
40	5239.751142
41	5181.584293
42	5126.036175
43	5073.152466
44	5025.431675
45	4981.498256
46	4934.792541
47	4892.907825
48	4847.676919
49	4805.775088
50	4763.601368
51	4721.073312
52	4680.609103
53	4642.348364
54	4606.411828
55	4572.467936
56	4534.962354
57	4503.340641
58	4470.885431
59	4444.742343
60	4416.116784
61	4386.840381
62	4359.913766
63	4331.477775
64	4304.933046
65	4282.357579
66	4259.756973
67	4235.770777
68	4212.470179
69	4189.385653
70	4165.390953
71	4143.069053
72	4121.912431
73	4104.222927
74	4085.473742
75	4064.809939
76	4046.284819
77	4027.288546
78	4010.830352
79	3994.938878
80	3978.237604
81	3962.07927
82	3946.623271
83	3931.089953
84	3915.818327
85	3901.935983
86	3884.411754
87	3872.3534
88	3858.363233
89	3843.316324
90	3830.681859
91	3817.303557
92	3802.509394
93	3790.412276
94	3780.050087
95	3769.203666
96	3758.064725
97	3745.302732
98	3735.913661
99	3726.504872
100	3716.201331
101	3705.888314
102	3695.252932
103	3686.824352
104	3677.203733
105	3668.944113
106	3660.247366
107	3652.53685
108	3642.574413
109	3634.444566
110	3626.444815
111	3618.612246
112	3611.1583
113	3603.464394
114	3600.6701
115	3591.140505
116	3583.529485
117	3576.942255
118	3573.549977
119	3564.975646
120	3556.723227
121	3550.851805
122	3543.428483
123	3535.156788
124	3530.250242
125	3522.302718
126	3515.070873
127	3508.999765
128	3501.782171
129	3497.902175
130	3491.312954
131	3485.521527
132	3479.285767
133	3472.588817
134	3466.036039
135	3461.56103
136	3458.544336
137	3451.822285
138	3446.647401
139	3440.8398
140	3437.73793
141	3433.749385
142	3427.427399
143	3421.442092
144	3417.405466
145	3411.534778
146	3405.810195
147	3399.826184
148	3395.810205
149	3393.850151
150	3388.315721
151	3381.57601
152	3378.870372
153	3376.82163
154	3374.207979
155	3372.698285
156	3369.199543
157	3366.628687
158	3361.854022
159	3360.036129
160	3358.194248
161	3353.86818
162	3348.554748
163	3345.210019
164	3339.219164
165	3334.741794
166	3329.459237
167	3325.200741
168	3321.928915
169	3317.514039
170	3313.069752
171	3310.388582
172	3305.752481
173	3301.573301
174	3299.709792
175	3297.849487
176	3293.486916
177	3289.164545
178	3285.896173
179	3281.832949
180	3277.561927
181	3274.330144
182	3272.276948
183	3269.651154
184	3266.716722
185	3264.66782
186	3262.058024
187	3258.771767
188	3254.129029
189	3252.247475
190	3249.64045
191	3246.7218
192	3243.391725
193	3241.934359
194	3240.168741
195	3238.887433
196	3237.657098
197	3234.407824
198	3233.370693
199	3230.129373
200	3228.723116
201	3226.466866
202	3224.548724
203	3223.092935
204	3220.24258
205	3215.962132
206	3214.887727
207	3212.391622
208	3211.53301
209	3208.987438
210	3205.430935
211	3204.464357
212	3200.846415
213	3196.737167
214	3195.320287
215	3193.2672
216	3191.645764
217	3188.407793
218	3187.123094
219	3185.562873
220	3182.232478
221	3180.18636
222	3178.915146
223	3176.091184
224	3173.280575
225	3172.126148
226	3170.534857
227	3168.717083
228	3166.522348
229	3165.967661
230	3163.868081
231	3161.001327
232	3160.129473
233	3155.225276
234	3153.951268
235	3149.530644
236	3147.439875
237	3144.490104
238	3142.897591
239	3141.771192
240	3140.850526
241	3139.902514
242	3138.979532
243	3137.261975
244	3134.70498
245	3130.617539
246	3128.288007
247	3127.203382
248	3124.881649
249	3124.007797
250	3122.508993
251	3121.524634
252	3118.619735
253	3117.932806
254	3115.816409
255	3112.419409
256	3111.759016
257	3108.595675
258	3107.499078
259	3105.807085
260	3104.676914
261	3102.19761
262	3100.903303
263	3097.806449
264	3096.129241
265	3094.550666
266	3093.426794
267	3091.917184
268	3090.081743
269	3087.43828
270	3085.223505
271	3083.889758
272	3081.594241
273	3079.255864
274	3078.28689
275	3077.222689
276	3074.439783
277	3073.308956
278	3070.354351
279	3067.836453
280	3064.730237
281	3061.831439
282	3060.839191
283	3059.897826
284	3057.477845
285	3056.062943
286	3055.204871
287	3053.909954
288	3052.535924
289	3051.195214
290	3050.116025
291	3047.305957
292	3045.10048
293	3042.740654
294	3039.452029
295	3037.051782
296	3035.724815
297	3034.440613
298	3033.827963
299	3031.630212
300	3029.12211
301	3025.491318
302	3023.185856
303	3022.41108
304	3021.588818
305	3019.659361
306	3018.623586
307	3017.820251
308	3015.990154
309	3013.364119
310	3011.07709
311	3010.279789
312	3009.08789
313	3007.240562
314	3006.037057
315	3005.031655
316	3002.823178
317	3002.062505
318	3001.313943
319	3000.439547
320	2998.134045
321	2996.689814
322	2994.679349
323	2993.809207
324	2993.031896
325	2992.030489
326	2991.045207
327	2990.324529
328	2987.733903
329	2984.550354
330	2983.356467
331	2981.168875
332	2979.409818
333	2978.217507
334	2975.77387
335	2975.024168
336	2974.285485
337	2973.477975
338	2972.417943
339	2971.731308
340	2970.973088
341	2969.981245
342	2968.654497
343	2966.147463
344	2964.252508
345	2963.578379
346	2962.916409
347	2962.233965
348	2960.489978
349	2957.775255
350	2957.099729
351	2954.274546
352	2953.40236
353	2951.199491
354	2947.471008
355	2946.802515
356	2945.635766
357	2942.725659
358	2940.854872
359	2940.190291
360	2937.75832
361	2937.122268
362	2934.924264
363	2934.271671
364	2932.158923
365	2931.022519
366	2930.384846
367	2929.757269
368	2929.148539
369	2928.026077
370	2925.692064
371	2924.319863
372	2921.794167
373	2920.431521
374	2919.824362
375	2919.205886
376	2916.634092
377	2914.758848
378	2912.570747
379	2910.402968
380	2909.787221
381	2909.184158
382	2908.533888
383	2907.871918
384	2907.217573
385	2906.584158
386	2905.945301
387	2905.318672
388	2904.704296
389	2902.885156
390	2901.825099
391	2901.21355
392	2900.170334
393	2897.752988
394	2896.733933
395	2895.012782
396	2892.68163
397	2891.100262
398	2890.067576
399	2889.098656
400	2887.422347
401	2886.472487
402	2884.250836
403	2883.500064
404	2882.612261
405	2881.674703
406	2880.59087
407	2879.917766
408	2879.047004
409	2877.373246
410	2875.882408
411	2873.937409
412	2871.870384
413	2870.018749
414	2869.204597
415	2868.651027
416	2866.877248
417	2863.614027
418	2862.969487
419	2859.794689
420	2857.885445
421	2855.259363
422	2853.350028
423	2851.632693
424	2850.005619
425	2848.062485
426	2847.519212
427	2846.983957
428	2846.456476
429	2844.885592
430	2843.046754
431	2839.752106
432	2838.686269
433	2836.304917
434	2834.694715
435	2834.175464
436	2833.664983
437	2831.645184
438	2828.651139
439	2826.050083
440	2825.348482
441	2824.013572
442	2822.499827
443	2821.991292
444	2819.847575
445	2819.346838
446	2818.048803
447	2817.553943
448	2816.690365
449	2815.084318
450	2814.591667
451	2814.104991
452	2813.232891
453	2810.625928
454	2806.876256
455	2806.392182
456	2804.500521
457	2801.57837
458	2799.177636
459	2796.567082
460	2795.362857
461	2794.88558
462	2793.106007
463	2792.002325
464	2789.990838
465	2788.755874
466	2787.863642
467	2787.014945
468	2785.810596
469	2785.336038
470	2782.734752
471	2780.61323
472	2779.414308
473	2778.570964
474	2777.313829
475	2776.845081
476	2775.742943
477	2774.641094
478	2773.060499
479	2771.730015
480	2770.041905
481	2767.909924
482	2767.44682
483	2766.988401
484	2766.534364
485	2765.938517
486	2765.489639
487	2764.251307
488	2762.399999
489	2761.552933
490	2760.062367
491	2759.617105
492	2757.69418
493	2757.251077
494	2756.450348
495	2755.001257
496	2753.27969
497	2752.84087
498	2752.405916
499	2751.72782
500	2751.297016
501	2750.868782
502	2749.429393
503	2746.831449
504	2745.035171
505	2744.610029
506	2743.834837
507	2742.377508
508	2741.804132
509	2741.382856
510	2740.965608
511	2739.941217
512	2738.133407
513	2737.717503
514	2737.30543
515	2735.64996
516	2734.409797
517	2733.649746
518	2731.972141
519	2730.76057
520	2729.175254
521	2728.52931
522	2728.120551
523	2727.716083
524	2727.313933
525	2726.528455
526	2725.226241
527	2724.16012
528	2723.358276
529	2721.473726
530	2721.074516
531	2719.298924
532	2716.641598
533	2714.840522
534	2714.302011
535	2713.600036
536	2712.089324
537	2711.691984
538	2710.061853
539	2709.669185
540	2708.404101
541	2705.9082
542	2704.438617
543	2703.148565
544	2701.811495
545	2700.678485
546	2700.290303
547	2699.585608
548	2698.852236
549	2697.803934
550	2697.419532
551	2696.329471
552	2694.80901
553	2694.105272
554	2693.270825
555	2691.606532
556	2690.553587
557	2689.823997
558	2688.636474
559	2687.963062
560	2687.581622
561	2686.341148
562	2685.742739
563	2683.586222
564	2683.207312
565	2681.736101
566	2681.362956
567	2680.512161
568	2679.799269
569	2678.327457
570	2676.507383
571	2676.137547
572	2675.551801
573	2674.113381
574	2673.746115
575	2671.543209
576	2669.996582
577	2667.741278
578	2667.377907
579	2665.804829
580	2664.146882
581	2663.442068
582	2662.813109
583	2661.337284
584	2660.977413
585	2660.336823
586	2658.274924
587	2657.904572
588	2656.216546
589	2655.550711
590	2655.196625
591	2654.705606
592	2653.173715
593	2652.486362
594	2652.135856
595	2649.501818
596	2649.154542
597	2648.52044
598	2647.884886
599	2646.239739
600	2644.78273
601	2644.437214
602	2642.053705
603	2640.850329
604	2640.262867
605	2639.795726
606	2637.801065
607	2636.218549
608	2635.115674
609	2634.470628
610	2633.155423
611	2632.813685
612	2630.644632
613	2629.169304
614	2628.633855
615	2628.295385
616	2627.599918
617	2626.601091
618	2624.725235
619	2624.271637
620	2623.93525
621	2622.492392
622	2622.159577
623	2619.293793
624	2617.868814
625	2616.331122
626	2613.499155
627	2613.169226
628	2612.574771
629	2612.248567
630	2611.613511
631	2611.290695
632	2610.661021
633	2609.659608
634	2609.33813
635	2607.848827
636	2606.494794
637	2605.985826
638	2603.313121
639	2602.339306
640	2601.716844
641	2600.211169
642	2599.892252
643	2598.42383
644	2597.361029
645	2597.044759
646	2595.218135
647	2594.904054
648	2593.090231
649	2592.592468
650	2590.662724
651	2589.567261
652	2589.075695
653	2588.469615
654	2587.520424
655	2587.208254
656	2585.183646
657	2583.090878
658	2582.780931
659	2582.474719
660	2581.898891
661	2579.798932
662	2578.472857
663	2576.697832
664	2576.39309
665	2575.965751
666	2572.770925
667	2572.273518
668	2570.820067
669	2568.964668
670	2567.46061
671	2566.378812
672	2566.078132
673	2564.939288
674	2564.641935
675	2564.081068
676	2562.384738
677	2562.088889
678	2560.547759
679	2558.585872
680	2557.283984
681	2555.835705
682	2555.166593
683	2553.170341
684	2552.406057
685	2550.799788
686	2550.313412
687	2550.02114
688	2548.176121
689	2546.489956
690	2545.973664
691	2545.683585
692	2544.681314
693	2543.538186
694	2541.895473
695	2541.608399
696	2541.153812
697	2540.868406
698	2539.401137
699	2537.870001
700	2537.333435
701	2535.686723
702	2533.76008
703	2533.47646
704	2533.050574
705	2532.659941
706	2532.379938
707	2531.867602
708	2530.896217
709	2530.617326
710	2530.223736
711	2529.947201
712	2528.330783
713	2527.548588
714	2525.70549
715	2525.430936
716	2524.559709
717	2523.135402
718	2521.890204
719	2521.452919
720	2520.924392
721	2519.331115
722	2517.663801
723	2515.193252
724	2514.921377
725	2513.729251
726	2512.705153
727	2511.476413
728	2511.025209
729	2510.11622
730	2509.847151
731	2509.145811
732	2508.298734
733	2507.400447
734	2505.671391
735	2505.404195
736	2504.591867
737	2504.121037
738	2503.243049
739	2502.819495
740	2502.299782
741	2500.868071
742	2499.397653
743	2497.650407
744	2497.187714
745	2496.923296
746	2496.462698
747	2495.050769
748	2494.176516
749	2493.914903
750	2493.500036
751	2492.023599
752	2491.414302
753	2491.155005
754	2489.904054
755	2488.394148
756	2487.241536
757	2485.781221
758	2485.217959
759	2484.690816
760	2482.634661
761	2481.848433
762	2481.591679
763	2481.18439
764	2480.146549
765	2479.01351
766	2478.512452
767	2478.258109
768	2478.006088
769	2477.50894
770	2476.786014
771	2475.392552
772	2474.990344
773	2474.063772
774	2472.884176
775	2472.100736
776	2471.848776
777	2471.141663
778	2470.74543
779	2470.495331
780	2470.039016
781	2468.586215
782	2468.338197
783	2467.645452
784	2467.156222
785	2466.208459
786	2465.713212
787	2465.46591
788	2464.993264
789	2463.396313
790	2463.150524
791	2462.759544
792	2462.332506
793	2460.930687
794	2460.153784
795	2458.601614
796	2458.244673
797	2458.000565
798	2457.609363
799	2457.108823
800	2456.654456
801	2455.052586
802	2453.790299
803	2453.391857
804	2452.689212
805	2451.35333
806	2450.970063
807	2450.529244
808	2450.286748
809	2450.046442
810	2448.506092
811	2447.362256
812	2446.985979
813	2445.775323
814	2444.802902
815	2444.02941
816	2443.158839
817	2442.623128
818	2442.045261
819	2441.806971
820	2441.425101
821	2439.801112
822	2438.642897
823	2438.236417
824	2437.999527
825	2436.983304
826	2435.552446
827	2435.318122
828	2435.08557
829	2434.50365
830	2434.137566
831	2433.907214
832	2432.940648
833	2431.959345
834	2431.344822
835	2430.855164
836	2429.654143
837	2428.533751
838	2428.042392
839	2427.081512
840	2426.851817
841	2426.624726
842	2425.685898
843	2424.770108
844	2424.006951
845	2423.610658
846	2423.249359
847	2423.022729
848	2422.667147
849	2421.947157
850	2421.722431
851	2420.94056
852	2419.631286
853	2419.16009
854	2418.394324
855	2418.17107
856	2417.651734
857	2416.095845
858	2415.715661
859	2414.834082
860	2414.611699
861	2414.391536
862	2413.615267
863	2412.591125
864	2411.570341
865	2410.794017
866	2410.44201
867	2409.473104
868	2409.036946
869	2408.329369
870	2406.501226
871	2406.069949
872	2403.606983
873	2403.229375
874	2403.008732
875	2402.779338
876	2402.354486
877	2401.971202
878	2401.396618
879	2400.413027
880	2399.632645
881	2398.822063
882	2398.309297
883	2397.871329
884	2397.653224
885	2396.723988
886	2396.282287
887	2396.066595
888	2395.665128
889	2394.755154
890	2394.418566
891	2393.871504
892	2393.463572
893	2393.041354
894	2391.328452
895	2390.41215
896	2389.720386
897	2388.675109
898	2388.450331
899	2387.453215
900	2386.517091
901	2385.626655
902	2384.763833
903	2383.641358
904	2383.427235
905	2382.633478
906	2381.611892
907	2381.274191
908	2381.061329
909	2380.850116
910	2379.799191
911	2379.11619
912	2378.691427
913	2378.154864
914	2377.944755
915	2377.612736
916	2377.404154
917	2377.19667
918	2376.097442
919	2375.769319
920	2374.131421
921	2373.808365
922	2373.60286
923	2372.845056
