iter	Passed	Remaining
0	153	768806
1	161	402473
2	167	278756
3	173	216596
4	180	180043
5	186	154956
6	193	137786
7	199	124348
8	211	117021
9	216	108046
10	222	100875
11	229	95260
12	235	90350
13	241	86069
14	247	82251
15	254	79193
16	260	76434
17	266	73896
18	272	71553
19	279	69501
20	285	67654
21	291	66048
22	298	64687
23	306	63507
24	312	62279
25	319	61111
26	326	60225
27	334	59352
28	341	58461
29	347	57549
30	353	56735
31	359	55854
32	367	55302
33	373	54542
34	379	53873
35	386	53283
36	392	52663
37	400	52291
38	406	51684
39	412	51153
40	419	50729
41	426	50355
42	433	49961
43	439	49509
44	446	49218
45	453	48848
46	460	48524
47	466	48141
48	472	47766
49	478	47412
50	485	47120
51	492	46835
52	498	46493
53	504	46253
54	511	45952
55	517	45650
56	524	45505
57	530	45215
58	537	45004
59	543	44773
60	550	44561
61	556	44314
62	561	44038
63	568	43874
64	574	43615
65	579	43358
66	586	43185
67	592	42977
68	599	42826
69	605	42645
70	612	42494
71	618	42319
72	624	42141
73	630	42001
74	636	41813
75	643	41709
76	649	41540
77	655	41390
78	662	41260
79	668	41107
80	675	41000
81	680	40837
82	687	40706
83	693	40582
84	700	40492
85	707	40398
86	712	40234
87	718	40121
88	725	40021
89	731	39888
90	737	39777
91	743	39648
92	749	39541
93	755	39438
94	761	39324
95	767	39204
96	773	39093
97	779	38966
98	785	38884
99	791	38766
100	797	38674
101	802	38553
102	808	38445
103	814	38344
104	819	38217
105	825	38109
106	832	38061
107	837	37941
108	844	37899
109	850	37788
110	855	37678
111	862	37645
112	868	37551
113	874	37487
114	880	37415
115	886	37338
116	894	37315
117	900	37241
118	906	37188
119	912	37097
120	918	37055
121	926	37060
122	934	37040
123	947	37262
124	956	37301
125	963	37262
126	977	37487
127	984	37485
128	991	37451
129	998	37422
130	1006	37409
131	1015	37463
132	1025	37536
133	1036	37654
134	1043	37607
135	1050	37572
136	1057	37521
137	1076	37915
138	1083	37890
139	1090	37868
140	1097	37822
141	1104	37777
142	1111	37765
143	1119	37736
144	1125	37698
145	1132	37653
146	1140	37641
147	1146	37583
148	1153	37565
149	1159	37498
150	1165	37434
151	1171	37376
152	1177	37312
153	1185	37316
154	1192	37261
155	1199	37247
156	1205	37182
157	1214	37211
158	1220	37168
159	1228	37150
160	1234	37106
161	1240	37052
